Year,Date,Plot,Treatment,Distance,Spider Count
2022,7/27/2022,A3,Stakes,5,4
2022,7/27/2022,A3,Stakes,10,1
2022,7/27/2022,A3,Stakes,15,2
2022,7/27/2022,A7,Stakes,5,3
2022,7/27/2022,A7,Stakes,10,2
2022,7/27/2022,A7,Stakes,15,3
2022,7/27/2022,C2,Stakes,5,6
2022,7/27/2022,C2,Stakes,10,6
2022,7/27/2022,C2,Stakes,15,3
2022,7/27/2022,C4,Stakes,5,8
2022,7/27/2022,C4,Stakes,10,8
2022,7/27/2022,C4,Stakes,15,3
2022,7/27/2022,C5,Stakes,5,9
2022,7/27/2022,C5,Stakes,10,7
2022,7/27/2022,C5,Stakes,15,5
2022,7/27/2022,C8,Stakes,5,6
2022,7/27/2022,C8,Stakes,10,8
2022,7/27/2022,C8,Stakes,15,1
2022,7/27/2022,D1,Stakes,5,11
2022,7/27/2022,D1,Stakes,10,11
2022,7/27/2022,D1,Stakes,15,3
2022,7/27/2022,D2,Stakes,5,6
2022,7/27/2022,D2,Stakes,10,5
2022,7/27/2022,D2,Stakes,15,7
2022,8/4/2022,A3,Stakes,5,1
2022,8/4/2022,A3,Stakes,10,4
2022,8/4/2022,A3,Stakes,15,1
2022,8/4/2022,A7,Stakes,5,4
2022,8/4/2022,A7,Stakes,10,2
2022,8/4/2022,A7,Stakes,15,2
2022,8/4/2022,C2,Stakes,5,3
2022,8/4/2022,C2,Stakes,10,2
2022,8/4/2022,C2,Stakes,15,5
2022,8/4/2022,C4,Stakes,5,5
2022,8/4/2022,C4,Stakes,10,6
2022,8/4/2022,C4,Stakes,15,8
2022,8/4/2022,C5,Stakes,5,4
2022,8/4/2022,C5,Stakes,10,7
2022,8/4/2022,C5,Stakes,15,4
2022,8/4/2022,C8,Stakes,5,6
2022,8/4/2022,C8,Stakes,10,8
2022,8/4/2022,C8,Stakes,15,6
2022,8/4/2022,D1,Stakes,5,7
2022,8/4/2022,D1,Stakes,10,5
2022,8/4/2022,D1,Stakes,15,4
2022,8/4/2022,D2,Stakes,5,4
2022,8/4/2022,D2,Stakes,10,6
2022,8/4/2022,D2,Stakes,15,6
2022,8/26/2022,A3,Stakes,5,4
2022,8/26/2022,A3,Stakes,10,3
2022,8/26/2022,A3,Stakes,15,4
2022,8/26/2022,A7,Stakes,5,4
2022,8/26/2022,A7,Stakes,10,0
2022,8/26/2022,A7,Stakes,15,2
2022,8/26/2022,C2,Stakes,5,6
2022,8/26/2022,C2,Stakes,10,2
2022,8/26/2022,C2,Stakes,15,2
2022,8/26/2022,C4,Stakes,5,6
2022,8/26/2022,C4,Stakes,10,7
2022,8/26/2022,C4,Stakes,15,1
2022,8/26/2022,C5,Stakes,5,10
2022,8/26/2022,C5,Stakes,10,2
2022,8/26/2022,C5,Stakes,15,1
2022,8/26/2022,C8,Stakes,5,1
2022,8/26/2022,C8,Stakes,10,0
2022,8/26/2022,C8,Stakes,15,2
2022,8/26/2022,D1,Stakes,5,2
2022,8/26/2022,D1,Stakes,10,2
2022,8/26/2022,D1,Stakes,15,4
2022,8/26/2022,D2,Stakes,5,4
2022,8/26/2022,D2,Stakes,10,0
2022,8/26/2022,D2,Stakes,15,1
2022,8/31/2022,A3,Stakes,5,4
2022,8/31/2022,A3,Stakes,10,1
2022,8/31/2022,A3,Stakes,15,0
2022,8/31/2022,A7,Stakes,5,1
2022,8/31/2022,A7,Stakes,10,1
2022,8/31/2022,A7,Stakes,15,0
2022,8/31/2022,C2,Stakes,5,0
2022,8/31/2022,C2,Stakes,10,0
2022,8/31/2022,C2,Stakes,15,0
2022,8/31/2022,C4,Stakes,5,1
2022,8/31/2022,C4,Stakes,10,4
2022,8/31/2022,C4,Stakes,15,1
2022,8/31/2022,C5,Stakes,5,5
2022,8/31/2022,C5,Stakes,10,0
2022,8/31/2022,C5,Stakes,15,1
2022,8/31/2022,C8,Stakes,5,3
