Date,Percentage Adult,Leafhopper Number
8/4/2022,0.9,12
8/4/2022,0.33,2
8/4/2022,0.83,10
8/4/2022,1,10
8/4/2022,0.71,12
8/4/2022,0.73,6
8/4/2022,0.75,8
8/4/2022,0.75,19
8/4/2022,0.82,21
8/4/2022,0.66,13
8/4/2022,0.8,11
8/4/2022,0.66,10
8/4/2022,1,7
8/4/2022,0.9,15
8/4/2022,0.79,17
8/4/2022,0.86,14
8/4/2022,0.75,8
8/4/2022,0.5,7
8/4/2022,0.57,9
8/4/2022,0.58,14
8/4/2022,0.53,10
8/4/2022,0.46,10
8/4/2022,0.76,20
8/4/2022,0.85,19
8/4/2022,0.56,14
8/4/2022,0.75,7
8/4/2022,0.38,5
8/4/2022,0.9,14
8/4/2022,0.5,9
8/4/2022,0.71,5
8/4/2022,0.44,11
8/4/2022,0.82,12
8/26/2022,0.66,3
8/26/2022,0.4,0
8/26/2022,0.5,0
8/26/2022,0.7,3
8/26/2022,0.4,0
8/26/2022,0.88,1
8/26/2022,0.66,1
8/26/2022,0.4,2
8/26/2022,0.21,1
8/26/2022,0.4,0
8/26/2022,0.2,2
8/26/2022,0.31,0
8/26/2022,0.36,0
8/26/2022,0.09,2
8/26/2022,0.2,3
8/26/2022,0.46,0
8/26/2022,0.33,1
8/26/2022,0.2,1
8/26/2022,0.42,0
8/26/2022,0.14,1
8/26/2022,0.31,2
8/26/2022,0.33,2
8/26/2022,0.25,2
8/26/2022,0.66,2
8/26/2022,0.5,2
8/26/2022,0.6,1
8/26/2022,0.4,0
8/26/2022,0.33,0
8/26/2022,0.66,0
8/26/2022,1,1
8/26/2022,0.5,0
8/26/2022,0.25,0
8/31/2022,1,1
8/31/2022,0.57,0
8/31/2022,0.8,0
8/31/2022,0.5,2
8/31/2022,0.86,0
8/31/2022,0.4,0
8/31/2022,0.5,0
8/31/2022,0.5,1
8/31/2022,0.63,0
8/31/2022,0.75,0
8/31/2022,0.83,2
8/31/2022,0.5,2
8/31/2022,0.5,0
8/31/2022,1,0
8/31/2022,0.63,4
8/31/2022,0.57,0
8/31/2022,0.86,1
8/31/2022,0.66,0
8/31/2022,0.33,0
8/31/2022,0,2
8/31/2022,0.43,0
8/31/2022,0.5,5
8/31/2022,0.6,0
8/31/2022,0.2,2
8/31/2022,0.5,1
8/31/2022,0.5,0
8/31/2022,0.25,0
8/31/2022,1,0
8/31/2022,1,0
8/31/2022,0.66,0
