Date,Percentage Adult,Leafhopper Number
7/21/2022,1,24
7/21/2022,0.2,19
7/21/2022,1,19
7/21/2022,0,17
7/21/2022,0.4,14
7/21/2022,0.5,7
7/21/2022,0.75,8
7/21/2022,1,15
7/21/2022,0.16,12
7/21/2022,0.88,24
7/21/2022,0.66,13
7/21/2022,0.5,30
7/21/2022,0.5,17
7/21/2022,1,10
7/21/2022,0.66,13
7/21/2022,0.8,7
7/21/2022,0.66,15
7/21/2022,0.71,4
7/21/2022,1,28
7/21/2022,0.4,11
7/21/2022,1,18
7/21/2022,0.66,11
7/21/2022,0.86,16
7/21/2022,0.57,5
7/21/2022,1,6
7/21/2022,0.8,12
7/21/2022,0.75,6
7/21/2022,1,12
7/21/2022,0.66,6
7/21/2022,0.66,17
7/21/2022,0.4,16
7/27/2022,0.71,21
7/27/2022,1,6
7/27/2022,0.57,11
7/27/2022,0.71,18
7/27/2022,0.83,6
7/27/2022,0.44,17
7/27/2022,0.5,10
7/27/2022,1,22
7/27/2022,1,14
7/27/2022,1,18
7/27/2022,1,34
7/27/2022,1,24
7/27/2022,0.89,9
7/27/2022,0.88,11
7/27/2022,0.66,12
7/27/2022,0.71,23
7/27/2022,0.63,7
7/27/2022,0.66,23
7/27/2022,0.86,26
7/27/2022,0.58,25
7/27/2022,0.66,12
7/27/2022,0.69,17
7/27/2022,0.73,27
7/27/2022,0.6,38
7/27/2022,0.64,29
7/27/2022,0.83,3
7/27/2022,0.5,16
7/27/2022,1,29
7/27/2022,0.81,16
7/27/2022,0.88,12
7/27/2022,0.89,23
7/27/2022,0.59,10
