Year,Date,Adult,Juvenile,Leafhopper
2022,7/27/2022,61-80,21-40,21
2022,7/27/2022,81-100,0-20,6
2022,7/27/2022,41-60,41-60,11
2022,7/27/2022,61-80,21-40,18
2022,7/27/2022,81-100,0-20,6
2022,7/27/2022,41-60,41-60,17
2022,7/27/2022,41-60,41-60,10
2022,7/27/2022,81-100,0-20,22
2022,7/27/2022,81-100,0-20,14
2022,7/27/2022,81-100,0-20,18
2022,7/27/2022,81-100,0-20,34
2022,7/27/2022,81-100,0-20,24
2022,7/27/2022,81-100,0-20,9
2022,7/27/2022,81-100,0-20,11
2022,7/27/2022,61-80,21-40,12
2022,7/27/2022,61-80,21-40,23
2022,7/27/2022,61-80,21-40,7
2022,7/27/2022,61-80,21-40,23
2022,7/27/2022,81-100,0-20,26
2022,7/27/2022,41-60,41-60,25
2022,7/27/2022,61-80,21-40,12
2022,7/27/2022,61-80,21-40,17
2022,7/27/2022,61-80,21-40,27
2022,7/27/2022,41-60,41-60,38
2022,7/27/2022,61-80,21-40,29
2022,7/27/2022,81-100,0-20,3
2022,7/27/2022,41-60,41-60,16
2022,7/27/2022,81-100,0-20,29
2022,7/27/2022,81-100,0-20,16
2022,7/27/2022,81-100,0-20,12
2022,7/27/2022,81-100,0-20,23
2022,7/27/2022,41-60,41-60,10
2022,8/4/2022,81-100,0-20,12
2022,8/4/2022,21-40,61-80,2
2022,8/4/2022,81-100,0-20,10
2022,8/4/2022,81-100,0-20,10
2022,8/4/2022,61-80,21-40,12
2022,8/4/2022,61-80,21-40,6
2022,8/4/2022,61-80,21-40,8
2022,8/4/2022,61-80,21-40,19
2022,8/4/2022,81-100,0-20,21
2022,8/4/2022,61-80,21-40,13
2022,8/4/2022,61-80,21-40,11
2022,8/4/2022,61-80,21-40,10
2022,8/4/2022,81-100,0-20,7
2022,8/4/2022,81-100,0-20,15
2022,8/4/2022,61-80,21-40,17
2022,8/4/2022,81-100,0-20,14
2022,8/4/2022,61-80,21-40,8
2022,8/4/2022,41-60,41-60,7
2022,8/4/2022,41-60,41-60,9
2022,8/4/2022,41-60,41-60,14
2022,8/4/2022,41-60,41-60,10
2022,8/4/2022,41-60,41-60,10
2022,8/4/2022,61-80,21-40,20
2022,8/4/2022,81-100,0-20,19
2022,8/4/2022,41-60,41-60,14
2022,8/4/2022,61-80,21-40,7
2022,8/4/2022,21-40,61-80,5
2022,8/4/2022,81-100,0-20,14
2022,8/4/2022,41-60,41-60,9
2022,8/4/2022,61-80,21-40,5
2022,8/4/2022,41-60,41-60,11
2022,8/4/2022,81-100,0-20,12
2022,8/26/2022,61-80,21-40,3
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,41-60,41-60,0
2022,8/26/2022,61-80,21-40,3
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,81-100,0-20,1
2022,8/26/2022,61-80,21-40,1
2022,8/26/2022,21-40,61-80,2
2022,8/26/2022,21-40,61-80,1
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,0-20,81-100,2
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,0-20,81-100,2
2022,8/26/2022,0-20,81-100,3
2022,8/26/2022,41-60,41-60,0
2022,8/26/2022,21-40,61-80,1
2022,8/26/2022,0-20,81-100,1
2022,8/26/2022,41-60,41-60,0
2022,8/26/2022,0-20,81-100,1
2022,8/26/2022,21-40,61-80,2
2022,8/26/2022,21-40,61-80,2
2022,8/26/2022,21-40,61-80,2
2022,8/26/2022,61-80,21-40,2
2022,8/26/2022,41-60,41-60,2
2022,8/26/2022,41-60,41-60,1
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,21-40,61-80,0
2022,8/26/2022,61-80,21-40,0
2022,8/26/2022,81-100,0-20,1
2022,8/26/2022,41-60,41-60,0
2022,8/26/2022,21-40,61-80,0
2022,8/31/2022,81-100,0-20,1
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,61-80,21-40,0
2022,8/31/2022,41-60,41-60,2
2022,8/31/2022,81-100,0-20,0
2022,8/31/2022,21-40,61-80,0
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,41-60,41-60,1
2022,8/31/2022,61-80,21-40,0
2022,8/31/2022,61-80,21-40,0
2022,8/31/2022,81-100,0-20,2
2022,8/31/2022,41-60,41-60,2
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,81-100,0-20,0
2022,8/31/2022,61-80,21-40,4
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,81-100,0-20,1
2022,8/31/2022,61-80,21-40,0
2022,8/31/2022,21-40,61-80,0
2022,8/31/2022,0-20,81-100,2
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,41-60,41-60,5
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,0-20,81-100,2
2022,8/31/2022,41-60,41-60,1
2022,8/31/2022,41-60,41-60,0
2022,8/31/2022,21-40,61-80,0
2022,8/31/2022,81-100,0-20,0
2022,8/31/2022,81-100,0-20,0
2022,8/31/2022,61-80,21-40,0
