Year,Date,Plot,Treatment,Spider Count
2022,7/27/2022,A1,Nothing,2.33
2022,7/27/2022,A2,Stakes + SS,1.00
2022,7/27/2022,A3,Stakes,2.33
2022,7/27/2022,A4,Stakes + SS,2.33
2022,7/27/2022,A5,Stakes + SS,2.00
2022,7/27/2022,A6,SS,3.00
2022,7/27/2022,A7,Stakes,2.67
2022,7/27/2022,A8,Nothing,4.00
2022,7/27/2022,B1,SS,1.33
2022,7/27/2022,B2,SS,2.00
2022,7/27/2022,B3,SS,1.00
2022,7/27/2022,B4,Nothing,1.33
2022,7/27/2022,B5,SS,3.00
2022,7/27/2022,B6,Stakes + SS,2.67
2022,7/27/2022,B7,Nothing,1.00
2022,7/27/2022,B8,Stakes + SS,2.33
2022,7/27/2022,C1,Stakes + SS,5.33
2022,7/27/2022,C2,Stakes,5.00
2022,7/27/2022,C3,SS,2.33
2022,7/27/2022,C4,Stakes,6.33
2022,7/27/2022,C5,Stakes,7.00
2022,7/27/2022,C6,Stakes + SS,5.33
2022,7/27/2022,C7,Nothing,5.00
2022,7/27/2022,C8,Stakes,5.00
2022,7/27/2022,D1,Stakes,8.33
2022,7/27/2022,D2,Stakes,6.00
2022,7/27/2022,D3,Stakes + SS,8.67
2022,7/27/2022,D4,Nothing,5.00
2022,7/27/2022,D5,Nothing,7.00
2022,7/27/2022,D6,Nothing,5.33
2022,7/27/2022,E1,SS,9.00
2022,7/27/2022,E2,SS,7.67
2022,8/4/2022,A1,Nothing,3.33
2022,8/4/2022,A2,Stakes + SS,1.00
2022,8/4/2022,A3,Stakes,2.00
2022,8/4/2022,A4,Stakes + SS,1.67
2022,8/4/2022,A5,Stakes + SS,2.33
2022,8/4/2022,A6,SS,3.67
2022,8/4/2022,A7,Stakes,2.67
2022,8/4/2022,A8,Nothing,4.00
2022,8/4/2022,B1,SS,3.67
2022,8/4/2022,B2,SS,2.00
2022,8/4/2022,B3,SS,3.33
2022,8/4/2022,B4,Nothing,2.00
2022,8/4/2022,B5,SS,1.67
2022,8/4/2022,B6,Stakes + SS,3.33
2022,8/4/2022,B7,Nothing,4.33
2022,8/4/2022,B8,Stakes + SS,2.33
2022,8/4/2022,C1,Stakes + SS,6.67
2022,8/4/2022,C2,Stakes,3.33
2022,8/4/2022,C3,SS,4.67
2022,8/4/2022,C4,Stakes,6.33
2022,8/4/2022,C5,Stakes,5.00
2022,8/4/2022,C6,Stakes + SS,6.00
2022,8/4/2022,C7,Nothing,5.33
2022,8/4/2022,C8,Stakes,6.67
2022,8/4/2022,D1,Stakes,5.33
2022,8/4/2022,D2,Stakes,5.33
2022,8/4/2022,D3,Stakes + SS,5.33
2022,8/4/2022,D4,Nothing,3.33
2022,8/4/2022,D5,Nothing,5.33
2022,8/4/2022,D6,Nothing,4.67
2022,8/4/2022,E1,SS,10.00
2022,8/4/2022,E2,SS,5.67
2022,8/26/2022,A1,Nothing,2.33
2022,8/26/2022,A2,Stakes + SS,1.67
2022,8/26/2022,A3,Stakes,3.67
2022,8/26/2022,A4,Stakes + SS,3.33
2022,8/26/2022,A5,Stakes + SS,3.33
2022,8/26/2022,A6,SS,2.67
2022,8/26/2022,A7,Stakes,2.00
2022,8/26/2022,A8,Nothing,3.33
2022,8/26/2022,B1,SS,5.00
2022,8/26/2022,B2,SS,1.67
2022,8/26/2022,B3,SS,5.00
2022,8/26/2022,B4,Nothing,4.33
2022,8/26/2022,B5,SS,7.33
2022,8/26/2022,B6,Stakes + SS,3.67
2022,8/26/2022,B7,Nothing,3.33
2022,8/26/2022,B8,Stakes + SS,4.33
2022,8/26/2022,C1,Stakes + SS,3.00
2022,8/26/2022,C2,Stakes,3.33
2022,8/26/2022,C3,SS,6.67
2022,8/26/2022,C4,Stakes,4.67
2022,8/26/2022,C5,Stakes,4.33
2022,8/26/2022,C6,Stakes + SS,2.00
2022,8/26/2022,C7,Nothing,1.33
2022,8/26/2022,C8,Stakes,1.00
2022,8/26/2022,D1,Stakes,2.67
2022,8/26/2022,D2,Stakes,1.67
2022,8/26/2022,D3,Stakes + SS,1.67
2022,8/26/2022,D4,Nothing,1.00
2022,8/26/2022,D5,Nothing,1.00
2022,8/26/2022,D6,Nothing,0.67
2022,8/26/2022,E1,SS,2.00
2022,8/26/2022,E2,SS,1.33
2022,8/31/2022,A1,Nothing,0.67
2022,8/31/2022,A2,Stakes + SS,2.33
2022,8/31/2022,A3,Stakes,1.67
2022,8/31/2022,A4,Stakes + SS,0.67
2022,8/31/2022,A5,Stakes + SS,2.33
2022,8/31/2022,A6,SS,1.67
2022,8/31/2022,A7,Stakes,0.67
2022,8/31/2022,A8,Nothing,0.67
2022,8/31/2022,B1,SS,2.67
2022,8/31/2022,B2,SS,1.33
2022,8/31/2022,B3,SS,2.00
2022,8/31/2022,B4,Nothing,0.00
2022,8/31/2022,B5,SS,0.67
2022,8/31/2022,B6,Stakes + SS,2.00
2022,8/31/2022,B7,Nothing,0.67
2022,8/31/2022,B8,Stakes + SS,2.67
2022,8/31/2022,C1,Stakes + SS,2.33
2022,8/31/2022,C2,Stakes,0.00
2022,8/31/2022,C3,SS,2.33
2022,8/31/2022,C4,Stakes,2.00
2022,8/31/2022,C5,Stakes,2.00
2022,8/31/2022,C6,Stakes + SS,1.67
2022,8/31/2022,C7,Nothing,2.33
2022,8/31/2022,C8,Stakes,2.00
2022,8/31/2022,D1,Stakes,1.67
2022,8/31/2022,D2,Stakes,2.00
2022,8/31/2022,D3,Stakes + SS,3.33
2022,8/31/2022,D4,Nothing,1.33
2022,8/31/2022,D5,Nothing,1.33
2022,8/31/2022,D6,Nothing,0.67
2022,8/31/2022,E1,SS,1.33
2022,8/31/2022,E2,SS,1.00
2022,9/12/2022,A1,Nothing,0.00
2022,9/12/2022,A2,Stakes + SS,1.33
2022,9/12/2022,A3,Stakes,1.00
2022,9/12/2022,A4,Stakes + SS,1.00
2022,9/12/2022,A5,Stakes + SS,1.67
2022,9/12/2022,A6,SS,2.00
2022,9/12/2022,A7,Stakes,2.00
2022,9/12/2022,A8,Nothing,1.33
2022,9/12/2022,B1,SS,2.00
2022,9/12/2022,B2,SS,1.00
2022,9/12/2022,B3,SS,2.33
2022,9/12/2022,B4,Nothing,1.33
2022,9/12/2022,B5,SS,1.33
2022,9/12/2022,B6,Stakes + SS,1.33
2022,9/12/2022,B7,Nothing,1.00
2022,9/12/2022,B8,Stakes + SS,0.67
2022,9/12/2022,C1,Stakes + SS,1.67
2022,9/12/2022,C2,Stakes,1.00
2022,9/12/2022,C3,SS,2.33
2022,9/12/2022,C4,Stakes,1.00
2022,9/12/2022,C5,Stakes,0.67
2022,9/12/2022,C6,Stakes + SS,2.33
2022,9/12/2022,C7,Nothing,0.67
2022,9/12/2022,C8,Stakes,2.67
2022,9/12/2022,D1,Stakes,1.67
2022,9/12/2022,D2,Stakes,1.67
2022,9/12/2022,D3,Stakes + SS,2.33
2022,9/12/2022,D4,Nothing,1.33
2022,9/12/2022,D5,Nothing,0.67
2022,9/12/2022,D6,Nothing,1.67
2022,9/12/2022,E1,SS,2.00
2022,9/12/2022,E2,SS,2.67
2022,9/30/2022,A1,Nothing,1.00
2022,9/30/2022,A2,Stakes + SS,2.67
2022,9/30/2022,A3,Stakes,2.00
2022,9/30/2022,A4,Stakes + SS,4.33
2022,9/30/2022,A5,Stakes + SS,2.00
2022,9/30/2022,A6,SS,3.00
2022,9/30/2022,A7,Stakes,2.67
2022,9/30/2022,A8,Nothing,1.33
2022,9/30/2022,B1,SS,1.67
2022,9/30/2022,B2,SS,3.67
2022,9/30/2022,B3,SS,3.00
2022,9/30/2022,B4,Nothing,1.00
2022,9/30/2022,B5,SS,2.33
2022,9/30/2022,B6,Stakes + SS,5.33
2022,9/30/2022,B7,Nothing,2.33
2022,9/30/2022,B8,Stakes + SS,5.67
