Year,Date,Plot,Treatment,Spider Count,Leafhopper Number
2022,7/21/2022,A6,SS,4,7
2022,7/21/2022,B1,SS,6,12
2022,7/21/2022,B2,SS,8,24
2022,7/21/2022,B3,SS,3,13
2022,7/21/2022,B5,SS,4,17
2022,7/21/2022,C3,SS,7,28
2022,7/21/2022,E1,SS,6,16
2022,7/21/2022,E2,SS,10,7
2022,7/27/2022,A6,SS,9,17
2022,7/27/2022,B1,SS,4,14
2022,7/27/2022,B2,SS,6,18
2022,7/27/2022,B3,SS,3,34
2022,7/27/2022,B5,SS,9,9
2022,7/27/2022,C3,SS,7,26
2022,7/27/2022,E1,SS,27,23
2022,7/27/2022,E2,SS,23,10
2022,8/4/2022,A6,SS,11,6
2022,8/4/2022,B1,SS,11,21
2022,8/4/2022,B2,SS,6,13
2022,8/4/2022,B3,SS,10,11
2022,8/4/2022,B5,SS,5,7
2022,8/4/2022,C3,SS,14,9
2022,8/4/2022,E1,SS,31,11
2022,8/4/2022,E2,SS,17,12
2022,8/26/2022,A6,SS,8,1
2022,8/26/2022,B1,SS,13,1
2022,8/26/2022,B2,SS,5,0
2022,8/26/2022,B3,SS,15,2
2022,8/26/2022,B5,SS,22,0
2022,8/26/2022,C3,SS,20,0
2022,8/26/2022,E1,SS,6,0
2022,8/26/2022,E2,SS,4,0
2022,8/31/2022,A6,SS,5,0
2022,8/31/2022,B1,SS,8,0
2022,8/31/2022,B2,SS,4,0
2022,8/31/2022,B3,SS,6,2
2022,8/31/2022,B5,SS,2,2
2022,8/31/2022,C3,SS,7,1
2022,8/31/2022,E1,SS,4,0
2022,8/31/2022,E2,SS,3,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
