Year,Date,Plot,Treatment,Spider Count,Leafhopper Number
2022,7/21/2022,A2,Stakes + SS,10,19
2022,7/21/2022,A4,Stakes + SS,5,17
2022,7/21/2022,A5,Stakes + SS,5,14
2022,7/21/2022,B6,Stakes + SS,0,10
2022,7/21/2022,B8,Stakes + SS,3,7
2022,7/21/2022,C1,Stakes + SS,5,15
2022,7/21/2022,C6,Stakes + SS,3,11
2022,7/21/2022,D3,Stakes + SS,9,6
2022,7/27/2022,A2,Stakes + SS,3,6
2022,7/27/2022,A4,Stakes + SS,7,18
2022,7/27/2022,A5,Stakes + SS,6,6
2022,7/27/2022,B6,Stakes + SS,8,11
2022,7/27/2022,B8,Stakes + SS,7,23
2022,7/27/2022,C1,Stakes + SS,16,7
2022,7/27/2022,C6,Stakes + SS,16,17
2022,7/27/2022,D3,Stakes + SS,26,16
2022,8/4/2022,A2,Stakes + SS,3,2
2022,8/4/2022,A4,Stakes + SS,5,10
2022,8/4/2022,A5,Stakes + SS,7,12
2022,8/4/2022,B6,Stakes + SS,10,15
2022,8/4/2022,B8,Stakes + SS,7,14
2022,8/4/2022,C1,Stakes + SS,20,8
2022,8/4/2022,C6,Stakes + SS,18,10
2022,8/4/2022,D3,Stakes + SS,16,5
2022,8/26/2022,A2,Stakes + SS,5,0
2022,8/26/2022,A4,Stakes + SS,10,3
2022,8/26/2022,A5,Stakes + SS,10,0
2022,8/26/2022,B6,Stakes + SS,11,2
2022,8/26/2022,B8,Stakes + SS,13,0
2022,8/26/2022,C1,Stakes + SS,9,1
2022,8/26/2022,C6,Stakes + SS,6,2
2022,8/26/2022,D3,Stakes + SS,5,0
2022,8/31/2022,A2,Stakes + SS,7,0
2022,8/31/2022,A4,Stakes + SS,2,2
2022,8/31/2022,A5,Stakes + SS,7,0
2022,8/31/2022,B6,Stakes + SS,6,0
2022,8/31/2022,B8,Stakes + SS,8,4
2022,8/31/2022,C1,Stakes + SS,7,0
2022,8/31/2022,C6,Stakes + SS,5,2
2022,8/31/2022,D3,Stakes + SS,10,1
