Adult,Leafhopper Number
0.71,21
1,6
0.57,11
0.71,18
0.83,6
0.44,17
0.5,10
1,22
1,14
1,18
1,34
1,24
0.89,9
0.88,11
0.66,12
0.71,23
0.63,7
0.66,23
0.86,26
0.58,25
0.66,12
0.69,17
0.73,27
0.6,38
0.64,29
0.83,3
0.5,16
1,29
0.81,16
0.88,12
0.89,23
0.59,10
0.9,12
0.33,2
0.83,10
1,10
0.71,12
0.73,6
0.75,8
0.75,19
0.82,21
0.66,13
0.8,11
0.66,10
1,7
0.9,15
0.79,17
0.86,14
0.75,8
0.5,7
0.57,9
0.58,14
0.53,10
0.46,10
0.76,20
0.85,19
0.56,14
0.75,7
0.38,5
0.9,14
0.5,9
0.71,5
0.44,11
0.82,12
0.66,3
0.4,0
0.5,0
0.7,3
0.4,0
0.88,1
0.66,1
0.4,2
0.21,1
0.4,0
0.2,2
0.31,0
0.36,0
0.09,2
0.2,3
0.46,0
0.33,1
0.2,1
0.42,0
0.14,1
0.31,2
0.33,2
0.25,2
0.66,2
0.5,2
0.6,1
0.4,0
0.33,0
0.66,0
1,1
0.5,0
0.25,0
1,1
0.57,0
0.8,0
0.5,2
0.86,0
0.4,0
0.5,0
0.5,1
0.63,0
0.75,0
0.83,2
N/A,2
0.5,2
0.5,0
1,0
0.63,4
0.57,0
N/A,0
0.86,1
0.66,0
0.33,0
0,2
0.43,0
0.5,5
0.6,0
0.2,2
0.5,1
0.5,0
0.25,0
1,0
1,0
0.66,0
