Percentage Web Building,Leafhopper Number
0.57,21
1,6
0.86,11
0.57,18
0.5,6
0.33,17
0.75,10
0.92,22
0.75,14
0.86,18
N/A,34
0.5,24
1,9
0.86,11
0.33,12
0.57,23
0.81,7
0.66,23
0.71,26
0.58,25
0.71,12
0.5,17
0.6,27
0.66,38
0.76,29
0.83,3
0.58,16
0.8,29
0.86,16
0.56,12
0.54,23
0.59,10
0.6,12
0.33,2
0.5,10
0.6,10
0.57,12
0.73,6
1,8
0.92,19
0.73,21
0.83,13
0.8,11
0.66,10
0.8,7
0.9,15
0.85,17
0.86,14
0.7,8
0.7,7
0.71,9
0.63,14
0.73,10
0.89,10
0.75,20
0.75,19
0.69,14
0.63,7
0.63,5
0.66,14
0.69,9
0.71,5
0.27,11
0.29,12
0.5,3
0.6,0
0.55,0
0.2,3
0.5,0
1,1
0.5,1
0.4,2
0.71,1
0.6,0
0.27,2
0.36,0
0.36,0
0.09,2
0.6,3
0.46,0
0.33,1
0.08,1
0.22,0
0.21,1
0.42,2
0.33,2
0.25,2
0.66,2
0.38,2
0.4,1
0.6,0
1,0
1,0
1,1
0.5,0
0.25,0
0.5,1
0.43,0
0.6,0
0.5,2
0.43,0
0.4,0
0.5,0
0.5,1
0.25,0
1,0
0.5,2
N/A,2
0,2
0.33,0
0.5,0
0.25,4
0.14,0
N/A,0
0.43,1
0.83,0
0.66,0
0.2,2
0.14,0
0.66,5
0.4,0
0.2,2
0.5,1
0.5,0
0.25,0
0.66,0
0.25,0
0.66,0
