Year,Date,Plot,Treatment,Spider Count
2022,7/21/2022,A1,Nothing,51
2022,7/21/2022,A2,Stakes + SS,21
2022,7/21/2022,A3,Stakes,8
2022,7/21/2022,A4,Stakes + SS,17
2022,7/21/2022,A5,Stakes + SS,45
2022,7/21/2022,A6,SS,20
2022,7/21/2022,A7,Stakes,11
2022,7/21/2022,A8,Nothing,23
2022,7/21/2022,B1,SS,23
2022,7/21/2022,B2,SS,10
2022,7/21/2022,B3,SS,20
2022,7/21/2022,B4,Nothing,24
2022,7/21/2022,B5,SS,13
2022,7/21/2022,B6,Stakes + SS,9
2022,7/21/2022,B7,Nothing,5
2022,7/21/2022,B8,Stakes + SS,11
2022,7/21/2022,C1,Stakes + SS,27
2022,7/21/2022,C2,Stakes,43
2022,7/21/2022,C3,SS,19
2022,7/21/2022,C4,Stakes,14
2022,7/21/2022,C5,Stakes,14
2022,7/21/2022,C6,Stakes + SS,24
2022,7/21/2022,C7,Nothing,19
2022,7/21/2022,C8,Stakes,32
2022,7/21/2022,D1,Stakes,0
2022,7/21/2022,D2,Stakes,7
2022,7/21/2022,D3,Stakes + SS,10
2022,7/21/2022,D4,Nothing,20
2022,7/21/2022,D5,Nothing,37
2022,7/21/2022,D6,Nothing,15
2022,7/21/2022,E1,SS,40
2022,7/21/2022,E2,SS,91
2022,8/3/2022,A1,Nothing,21
2022,8/3/2022,A2,Stakes + SS,4
2022,8/3/2022,A3,Stakes,6
2022,8/3/2022,A4,Stakes + SS,8
2022,8/3/2022,A5,Stakes + SS,19
2022,8/3/2022,A6,SS,5
2022,8/3/2022,A7,Stakes,10
2022,8/3/2022,A8,Nothing,7
2022,8/3/2022,B1,SS,10
2022,8/3/2022,B2,SS,29
2022,8/3/2022,B3,SS,28
2022,8/3/2022,B4,Nothing,7
2022,8/3/2022,B5,SS,6
2022,8/3/2022,B6,Stakes + SS,12
2022,8/3/2022,B7,Nothing,17
2022,8/3/2022,B8,Stakes + SS,22
2022,8/3/2022,C1,Stakes + SS,21
2022,8/3/2022,C2,Stakes,16
2022,8/3/2022,C3,SS,23
2022,8/3/2022,C4,Stakes,43
2022,8/3/2022,C5,Stakes,9
2022,8/3/2022,C6,Stakes + SS,8
2022,8/3/2022,C7,Nothing,8
2022,8/3/2022,C8,Stakes,11
2022,8/3/2022,D1,Stakes,16
2022,8/3/2022,D2,Stakes,13
2022,8/3/2022,D3,Stakes + SS,10
2022,8/3/2022,D4,Nothing,15
2022,8/3/2022,D5,Nothing,39
2022,8/3/2022,D6,Nothing,9
2022,8/3/2022,E1,SS,15
2022,8/3/2022,E2,SS,8
2022,8/18/2022,A1,Nothing,8
2022,8/18/2022,A2,Stakes + SS,4
2022,8/18/2022,A3,Stakes,5
2022,8/18/2022,A4,Stakes + SS,5
2022,8/18/2022,A5,Stakes + SS,8
2022,8/18/2022,A6,SS,6
2022,8/18/2022,A7,Stakes,1
2022,8/18/2022,A8,Nothing,2
2022,8/18/2022,B1,SS,0
2022,8/18/2022,B2,SS,3
2022,8/18/2022,B3,SS,5
2022,8/18/2022,B4,Nothing,5
2022,8/18/2022,B5,SS,7
2022,8/18/2022,B6,Stakes + SS,2
2022,8/18/2022,B7,Nothing,4
2022,8/18/2022,B8,Stakes + SS,7
2022,8/18/2022,C1,Stakes + SS,1
2022,8/18/2022,C2,Stakes,2
2022,8/18/2022,C3,SS,0
2022,8/18/2022,C4,Stakes,6
2022,8/18/2022,C5,Stakes,7
2022,8/18/2022,C6,Stakes + SS,1
2022,8/18/2022,C7,Nothing,2
2022,8/18/2022,C8,Stakes,4
2022,8/18/2022,D1,Stakes,1
2022,8/18/2022,D2,Stakes,8
2022,8/18/2022,D3,Stakes + SS,6
2022,8/18/2022,D4,Nothing,1
2022,8/18/2022,D5,Nothing,3
2022,8/18/2022,D6,Nothing,2
2022,8/18/2022,E1,SS,3
2022,8/18/2022,E2,SS,7
