Year,Date,Plot,Treatment,Rep,Family,Genus,Hunting Method,Life Stage,Average Alfalfa Height (cm),Average SS Height (cm),
2022,7/27/2022,A1,Nothing,1,Salticidae,N/A,Mobile,Juvenile,35,N/A,
2022,7/27/2022,A1,Nothing,1,Araneidae,Aranniella,Web,Juvenile,35,N/A,
2022,7/27/2022,A1,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A1,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A1,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A1,Nothing,3,Salticidae,N/A,Mobile,Adult,37,N/A,
2022,7/27/2022,A1,Nothing,3,Salticidae,N/A,Mobile,Adult,37,N/A,
2022,7/27/2022,A2,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,21.5,46.5,
2022,7/27/2022,A2,Stakes + SS,2,0,0,0,0,21.5,46.5,
2022,7/27/2022,A2,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,21.5,46.5,
2022,7/27/2022,A2,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,21.5,46.5,
2022,7/27/2022,A3,Stakes,1,Araneidae,N/A,Web,Juvenile,38,N/A,
2022,7/27/2022,A3,Stakes,1,Araneidae,N/A,Web,Juvenile,38,N/A,
2022,7/27/2022,A3,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,38,N/A,
2022,7/27/2022,A3,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,38,N/A,
2022,7/27/2022,A3,Stakes,2,Salticidae,N/A,Mobile,Juvenile,39,N/A,
2022,7/27/2022,A3,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,40,N/A,
2022,7/27/2022,A3,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,40,N/A,
2022,7/27/2022,A4,Stakes + SS,1,Anyphaenidae,Hibana,Mobile,Juvenile,30,50,
2022,7/27/2022,A4,Stakes + SS,1,Araneidae,Aranniella,Web,Juvenile,30,50,
2022,7/27/2022,A4,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,2,Thomisidae,Misumessus,Mobile,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,3,Thomisidae,Misumessus,Mobile,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,30,50,
2022,7/27/2022,A5,Stakes + SS,1,Tetragnathidae,Glenognatha,Web,Juvenile,24,47.5,
2022,7/27/2022,A5,Stakes + SS,2,Thomisidae,Misumenoides,Mobile,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Anyphaenidae,Hibana,Mobile,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Thomisidae,Misumenoides,Mobile,Adult,24,47.5,
2022,7/27/2022,A6,SS,1,Thomisidae,N/A,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,1,Oxyopidae,Oxyopes,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,1,Salticidae,N/A,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,34,57,
2022,7/27/2022,A6,SS,2,Thomisidae,Misumessus,Mobile,Adult,34,57,
2022,7/27/2022,A6,SS,2,Salticidae,N/A,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,2,Araneidae,N/A,Web,Juvenile,34,57,
2022,7/27/2022,A6,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,34,57,
2022,7/27/2022,A6,SS,3,Salticidae,N/A,Mobile,Adult,34,57,
2022,7/27/2022,A7,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,34.5,N/A,
2022,7/27/2022,A7,Stakes,1,Thomisidae,Misumessus,Mobile,Adult,34.5,N/A,
2022,7/27/2022,A7,Stakes,1,Anyphaenidae,Hibana,Mobile,Juvenile,34.5,N/A,
2022,7/27/2022,A7,Stakes,2,Araneidae,N/A,Web,Juvenile,35.5,N/A,
2022,7/27/2022,A7,Stakes,2,Araneidae,N/A,Web,Juvenile,35.5,N/A,
2022,7/27/2022,A7,Stakes,3,Linyphiidae,N/A,Web,Adult,36.5,N/A,
2022,7/27/2022,A7,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,A7,Stakes,3,Araneidae,N/A,Web,Juvenile,36.5,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Linyphiidae,N/A,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Linyphiidae,N/A,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,3,Thomisidae,Misumessus,Mobile,Adult,38,N/A,
2022,7/27/2022,B1,SS,1,0,0,0,0,26.5,40,
2022,7/27/2022,B1,SS,2,Linyphiidae,N/A,Web,Adult,26.5,40,
2022,7/27/2022,B1,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26.5,40,
2022,7/27/2022,B1,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26.5,40,
