Year,Date,Plot,Treatment,Spider Count,Leafhopper Number
2022,7/21/2022,A1,Nothing,1,24
2022,7/21/2022,A3,Stakes,3,19
2022,7/21/2022,A7,Stakes,4,8
2022,7/21/2022,A8,Nothing,3,15
2022,7/21/2022,B4,Nothing,4,30
2022,7/21/2022,B7,Nothing,2,13
2022,7/21/2022,C2,Stakes,6,4
2022,7/21/2022,C4,Stakes,4,11
2022,7/21/2022,C5,Stakes,5,18
2022,7/21/2022,C7,Nothing,3,16
2022,7/21/2022,C8,Stakes,7,5
2022,7/21/2022,D1,Stakes,7,6
2022,7/21/2022,D2,Stakes,5,12
2022,7/21/2022,D4,Nothing,8,12
2022,7/21/2022,D5,Nothing,8,6
2022,7/21/2022,D6,Nothing,6,17
2022,7/27/2022,A1,Nothing,7,21
2022,7/27/2022,A3,Stakes,7,11
2022,7/27/2022,A7,Stakes,8,10
2022,7/27/2022,A8,Nothing,12,22
2022,7/27/2022,B4,Nothing,4,24
2022,7/27/2022,B7,Nothing,3,12
2022,7/27/2022,C2,Stakes,15,23
2022,7/27/2022,C4,Stakes,19,25
2022,7/27/2022,C5,Stakes,21,12
2022,7/27/2022,C7,Nothing,15,27
2022,7/27/2022,C8,Stakes,15,38
2022,7/27/2022,D1,Stakes,25,29
2022,7/27/2022,D2,Stakes,18,3
2022,7/27/2022,D4,Nothing,15,29
2022,7/27/2022,D5,Nothing,21,16
2022,7/27/2022,D6,Nothing,16,12
2022,8/4/2022,A1,Nothing,10,12
2022,8/4/2022,A3,Stakes,6,10
2022,8/4/2022,A7,Stakes,8,8
2022,8/4/2022,A8,Nothing,12,19
2022,8/4/2022,B4,Nothing,6,10
2022,8/4/2022,B7,Nothing,13,17
2022,8/4/2022,C2,Stakes,10,7
2022,8/4/2022,C4,Stakes,19,14
2022,8/4/2022,C5,Stakes,15,10
2022,8/4/2022,C7,Nothing,16,20
2022,8/4/2022,C8,Stakes,20,19
2022,8/4/2022,D1,Stakes,16,14
2022,8/4/2022,D2,Stakes,14,7
2022,8/4/2022,D4,Nothing,10,14
2022,8/4/2022,D5,Nothing,16,9
2022,8/4/2022,D6,Nothing,14,5
2022,8/26/2022,A1,Nothing,7,3
2022,8/26/2022,A3,Stakes,11,0
2022,8/26/2022,A7,Stakes,6,1
2022,8/26/2022,A8,Nothing,10,2
2022,8/26/2022,B4,Nothing,13,0
2022,8/26/2022,B7,Nothing,10,3
2022,8/26/2022,C2,Stakes,10,1
2022,8/26/2022,C4,Stakes,14,1
2022,8/26/2022,C5,Stakes,13,2
2022,8/26/2022,C7,Nothing,4,2
2022,8/26/2022,C8,Stakes,3,2
2022,8/26/2022,D1,Stakes,8,2
2022,8/26/2022,D2,Stakes,5,1
2022,8/26/2022,D4,Nothing,3,0
2022,8/26/2022,D5,Nothing,3,0
2022,8/26/2022,D6,Nothing,2,1
2022,8/31/2022,A1,Nothing,2,1
2022,8/31/2022,A3,Stakes,5,0
2022,8/31/2022,A7,Stakes,2,0
2022,8/31/2022,A8,Nothing,2,1
2022,8/31/2022,B4,Nothing,0,2
2022,8/31/2022,B7,Nothing,2,0
2022,8/31/2022,C2,Stakes,0,0
2022,8/31/2022,C4,Stakes,6,0
2022,8/31/2022,C5,Stakes,6,0
2022,8/31/2022,C7,Nothing,7,0
2022,8/31/2022,C8,Stakes,6,5
2022,8/31/2022,D1,Stakes,5,0
2022,8/31/2022,D2,Stakes,6,2
2022,8/31/2022,D4,Nothing,4,0
2022,8/31/2022,D5,Nothing,4,0
2022,8/31/2022,D6,Nothing,2,0
