Web,Adult,Leafhopper,Alfalfa,SS
0.57,0.71,21,37,0
1,1,6,21.5,46.5
0.86,0.57,11,38,0
0.57,0.71,18,30,50
0.5,0.83,6,24,47.5
0.33,0.44,17,34,57
0.75,0.5,10,34.5,0
0.92,1,22,36,0
0.75,1,14,26.5,40
0.86,1,18,26,44
0.5,1,24,31,44
1,0.89,9,34.5,45
0.86,0.88,11,25.5,45
0.33,0.66,12,37,0
0.57,0.71,23,40,43
0.81,0.63,7,30,40
0.66,0.66,23,29.5,0
0.71,0.86,26,29,43
0.58,0.58,25,42.5,0
0.71,0.66,12,36.5,0
0.5,0.69,17,27,45.5
0.6,0.73,27,32.5,0
0.66,0.6,38,37,0
0.76,0.64,29,30,0
0.83,0.83,3,28.5,0
0.58,0.5,16,28,48
0.8,1,29,27.5,0
0.86,0.81,16,33.5,0
0.56,0.88,12,30.5,0
0.54,0.89,23,32,56.5
0.59,0.59,10,33.5,43.5
0.6,0.9,12,24.5,0
0.33,0.33,2,22.5,53.5
0.5,0.83,10,31,0
0.6,1,10,36,65.5
0.57,0.71,12,24.5,59
0.73,0.73,6,37,53
1,0.75,8,37,0
0.92,0.75,19,39,0
0.73,0.82,21,26,49.5
0.83,0.66,13,25.5,48.5
0.8,0.8,11,38,57.5
0.66,0.66,10,31.5,0
0.8,1,7,29,51
0.9,0.9,15,29.5,48.5
0.85,0.79,17,26,0
0.86,0.86,14,28,54
0.7,0.75,8,28,45
0.7,0.5,7,23.5,0
0.71,0.57,9,32.5,53
0.63,0.58,14,35.5,0
0.73,0.53,10,29,0
0.89,0.46,10,32.5,39.5
0.75,0.76,20,27.5,0
0.75,0.85,19,26,0
0.69,0.56,14,34.5,0
0.63,0.75,7,25,0
0.63,0.38,5,28,52.5
0.66,0.9,14,25,0
0.69,0.5,9,28,0
0.71,0.71,5,41.5,0
0.27,0.44,11,24,42
0.29,0.82,12,27.5,53
0.5,0.66,3,20,0
0.6,0.4,0,20,94
0.55,0.5,0,27.5,0
0.2,0.7,3,17.5,111.5
0.5,0.4,0,23,90
1,0.88,1,22.5,97
0.5,0.66,1,24,0
0.4,0.4,2,20,0
0.71,0.21,1,22.5,92.5
0.6,0.4,0,18.5,90
0.27,0.2,2,21,77.5
0.36,0.31,0,17.5,0
0.36,0.36,0,22,89
0.09,0.09,2,18.5,80
0.6,0.2,3,18.5,0
0.46,0.46,0,27.5,95.5
0.33,0.33,1,22.5,77.5
0.08,0.2,1,23.5,0
0.22,0.42,0,22.5,75.5
0.21,0.14,1,21,0
0.42,0.31,2,21.5,0
0.33,0.33,2,23,83.5
0.25,0.25,2,19.5,0
0.66,0.66,2,22.5,0
0.38,0.5,2,22.5,0
0.4,0.6,1,17.5,0
0.6,0.4,0,17,85.5
1,0.33,0,18,0
1,0.66,0,24,0
1,1,1,20,0
0.5,0.5,0,19.5,98.5
0.25,0.25,0,19.5,69.5
0.5,1,1,33,0
0.43,0.57,0,34.5,128
0.6,0.8,0,40.5,0
0.5,0.5,2,32,133.5
0.43,0.86,0,33,101
0.4,0.4,0,35,121
0.5,0.5,0,46.5,0
0.5,0.5,1,28.5,0
0.25,0.63,0,33.5,109.5
1,0.75,0,34.5,87
0.5,0.83,2,34,85.5
0,0.5,2,39.5,89
0.33,0.5,0,30,105
0.5,1,0,32.5,0
0.25,0.63,4,39.5,98.5
0.14,0.57,0,33,86.5
0.43,0.86,1,32.5,68.5
0.83,0.66,0,37.5,0
0.66,0.33,0,31,0
0.2,0,2,34,82.5
0.14,0.43,0,34.5,0
0.66,0.5,5,40,0
0.4,0.6,0,34,0
0.2,0.2,2,28,0
0.5,0.5,1,30.5,104
0.5,0.5,0,30.5,0
0.25,0.25,0,29,0
0.66,1,0,32,0
0.25,1,0,31.5,110.5
0.66,0.66,0,36.5,89
