Year,Date,Plot,Treatment,Web ,Leafhopper
2022,7/27/2022,A1,Nothing,51-60,21
2022,7/27/2022,A2,Stakes + SS,91-100,6
2022,7/27/2022,A3,Stakes,81-90,11
2022,7/27/2022,A4,Stakes + SS,51-60,18
2022,7/27/2022,A5,Stakes + SS,41-50,6
2022,7/27/2022,A6,SS,31-40,17
2022,7/27/2022,A7,Stakes,71-80,10
2022,7/27/2022,A8,Nothing,91-100,22
2022,7/27/2022,B1,SS,71-80,14
2022,7/27/2022,B2,SS,81-90,18
2022,7/27/2022,B3,SS,N/A,34
2022,7/27/2022,B4,Nothing,41-50,24
2022,7/27/2022,B5,SS,91-100,9
2022,7/27/2022,B6,Stakes + SS,81-90,11
2022,7/27/2022,B7,Nothing,31-40,12
2022,7/27/2022,B8,Stakes + SS,51-60,23
2022,7/27/2022,C1,Stakes + SS,81-90,7
2022,7/27/2022,C2,Stakes,61-70,23
2022,7/27/2022,C3,SS,71-80,26
2022,7/27/2022,C4,Stakes,51-60,25
2022,7/27/2022,C5,Stakes,71-80,12
2022,7/27/2022,C6,Stakes + SS,41-50,17
2022,7/27/2022,C7,Nothing,51-60,27
2022,7/27/2022,C8,Stakes,61-70,38
2022,7/27/2022,D1,Stakes,71-80,29
2022,7/27/2022,D2,Stakes,81-90,3
2022,7/27/2022,D3,Stakes + SS,51-60,16
2022,7/27/2022,D4,Nothing,71-80,29
2022,7/27/2022,D5,Nothing,81-90,16
2022,7/27/2022,D6,Nothing,51-60,12
2022,7/27/2022,E1,SS,51-60,23
2022,7/27/2022,E2,SS,51-60,10
2022,8/4/2022,A1,Nothing,51-60,12
2022,8/4/2022,A2,Stakes + SS,31-40,2
2022,8/4/2022,A3,Stakes,41-50,10
2022,8/4/2022,A4,Stakes + SS,51-60,10
2022,8/4/2022,A5,Stakes + SS,51-60,12
2022,8/4/2022,A6,SS,71-80,6
2022,8/4/2022,A7,Stakes,91-100,8
2022,8/4/2022,A8,Nothing,91-100,19
2022,8/4/2022,B1,SS,71-80,21
2022,8/4/2022,B2,SS,81-90,13
2022,8/4/2022,B3,SS,71-80,11
2022,8/4/2022,B4,Nothing,61-70,10
2022,8/4/2022,B5,SS,71-80,7
2022,8/4/2022,B6,Stakes + SS,81-90,15
2022,8/4/2022,B7,Nothing,81-90,17
2022,8/4/2022,B8,Stakes + SS,81-90,14
2022,8/4/2022,C1,Stakes + SS,61-70,8
2022,8/4/2022,C2,Stakes,61-70,7
2022,8/4/2022,C3,SS,71-80,9
2022,8/4/2022,C4,Stakes,61-70,14
2022,8/4/2022,C5,Stakes,71-80,10
2022,8/4/2022,C6,Stakes + SS,81-90,10
2022,8/4/2022,C7,Nothing,71-80,20
2022,8/4/2022,C8,Stakes,71-80,19
2022,8/4/2022,D1,Stakes,61-70,14
2022,8/4/2022,D2,Stakes,61-70,7
2022,8/4/2022,D3,Stakes + SS,61-70,5
2022,8/4/2022,D4,Nothing,61-70,14
2022,8/4/2022,D5,Nothing,61-70,9
2022,8/4/2022,D6,Nothing,71-80,5
2022,8/4/2022,E1,SS,21-30,11
2022,8/4/2022,E2,SS,21-30,12
2022,8/26/2022,A1,Nothing,41-50,3
2022,8/26/2022,A2,Stakes + SS,51-60,0
