Year,Date,Plot,Treatment,Mobile,Leafhopper
2022,8/4/2022,A1,Nothing,21-40,12
2022,8/4/2022,A2,Stakes + SS,61-80,2
2022,8/4/2022,A3,Stakes,41-60,10
2022,8/4/2022,A4,Stakes + SS,21-40,10
2022,8/4/2022,A5,Stakes + SS,41-60,12
2022,8/4/2022,A6,SS,21-40,6
2022,8/4/2022,A7,Stakes,0-20,8
2022,8/4/2022,A8,Nothing,0-20,19
2022,8/4/2022,B1,SS,21-40,21
2022,8/4/2022,B2,SS,0-20,13
2022,8/4/2022,B3,SS,0-20,11
2022,8/4/2022,B4,Nothing,21-40,10
2022,8/4/2022,B5,SS,0-20,7
2022,8/4/2022,B6,Stakes + SS,0-20,15
2022,8/4/2022,B7,Nothing,0-20,17
2022,8/4/2022,B8,Stakes + SS,0-20,14
2022,8/4/2022,C1,Stakes + SS,21-40,8
2022,8/4/2022,C2,Stakes,21-40,7
2022,8/4/2022,C3,SS,21-40,9
2022,8/4/2022,C4,Stakes,21-40,14
2022,8/4/2022,C5,Stakes,21-40,10
2022,8/4/2022,C6,Stakes + SS,0-20,10
2022,8/4/2022,C7,Nothing,21-40,20
2022,8/4/2022,C8,Stakes,21-40,19
2022,8/4/2022,D1,Stakes,21-40,14
2022,8/4/2022,D2,Stakes,21-40,7
2022,8/4/2022,D3,Stakes + SS,21-40,5
2022,8/4/2022,D4,Nothing,21-40,14
2022,8/4/2022,D5,Nothing,21-40,9
2022,8/4/2022,D6,Nothing,21-40,5
2022,8/4/2022,E1,SS,61-80,11
2022,8/4/2022,E2,SS,61-80,12
